index;symbol;codepoint;width;height;black_pixels;source_file;symbol_file;profile_x_file;profile_y_file
1;א;u05d0;37;41;581;source_symbols/01_u05d0.png;results/alphabet_profiles/01_u05d0/00_symbol.png;results/alphabet_profiles/01_u05d0/01_profile_x.png;results/alphabet_profiles/01_u05d0/02_profile_y.png
2;ב;u05d1;41;42;546;source_symbols/02_u05d1.png;results/alphabet_profiles/02_u05d1/00_symbol.png;results/alphabet_profiles/02_u05d1/01_profile_x.png;results/alphabet_profiles/02_u05d1/02_profile_y.png
3;ג;u05d2;30;42;431;source_symbols/03_u05d2.png;results/alphabet_profiles/03_u05d2/00_symbol.png;results/alphabet_profiles/03_u05d2/01_profile_x.png;results/alphabet_profiles/03_u05d2/02_profile_y.png
4;ד;u05d3;38;41;421;source_symbols/04_u05d3.png;results/alphabet_profiles/04_u05d3/00_symbol.png;results/alphabet_profiles/04_u05d3/01_profile_x.png;results/alphabet_profiles/04_u05d3/02_profile_y.png
5;ה;u05d4;37;42;510;source_symbols/05_u05d4.png;results/alphabet_profiles/05_u05d4/00_symbol.png;results/alphabet_profiles/05_u05d4/01_profile_x.png;results/alphabet_profiles/05_u05d4/02_profile_y.png
6;ו;u05d5;21;42;286;source_symbols/06_u05d5.png;results/alphabet_profiles/06_u05d5/00_symbol.png;results/alphabet_profiles/06_u05d5/01_profile_x.png;results/alphabet_profiles/06_u05d5/02_profile_y.png
7;ז;u05d6;24;42;307;source_symbols/07_u05d6.png;results/alphabet_profiles/07_u05d6/00_symbol.png;results/alphabet_profiles/07_u05d6/01_profile_x.png;results/alphabet_profiles/07_u05d6/02_profile_y.png
8;ח;u05d7;37;42;566;source_symbols/08_u05d7.png;results/alphabet_profiles/08_u05d7/00_symbol.png;results/alphabet_profiles/08_u05d7/01_profile_x.png;results/alphabet_profiles/08_u05d7/02_profile_y.png
9;ט;u05d8;38;43;606;source_symbols/09_u05d8.png;results/alphabet_profiles/09_u05d8/00_symbol.png;results/alphabet_profiles/09_u05d8/01_profile_x.png;results/alphabet_profiles/09_u05d8/02_profile_y.png
10;י;u05d9;21;24;179;source_symbols/10_u05d9.png;results/alphabet_profiles/10_u05d9/00_symbol.png;results/alphabet_profiles/10_u05d9/01_profile_x.png;results/alphabet_profiles/10_u05d9/02_profile_y.png
11;כ;u05db;35;43;505;source_symbols/11_u05db.png;results/alphabet_profiles/11_u05db/00_symbol.png;results/alphabet_profiles/11_u05db/01_profile_x.png;results/alphabet_profiles/11_u05db/02_profile_y.png
12;ך;u05da;35;56;482;source_symbols/12_u05da.png;results/alphabet_profiles/12_u05da/00_symbol.png;results/alphabet_profiles/12_u05da/01_profile_x.png;results/alphabet_profiles/12_u05da/02_profile_y.png
13;ל;u05dc;34;57;517;source_symbols/13_u05dc.png;results/alphabet_profiles/13_u05dc/00_symbol.png;results/alphabet_profiles/13_u05dc/01_profile_x.png;results/alphabet_profiles/13_u05dc/02_profile_y.png
14;מ;u05de;40;42;666;source_symbols/14_u05de.png;results/alphabet_profiles/14_u05de/00_symbol.png;results/alphabet_profiles/14_u05de/01_profile_x.png;results/alphabet_profiles/14_u05de/02_profile_y.png
15;ם;u05dd;37;41;678;source_symbols/15_u05dd.png;results/alphabet_profiles/15_u05dd/00_symbol.png;results/alphabet_profiles/15_u05dd/01_profile_x.png;results/alphabet_profiles/15_u05dd/02_profile_y.png
16;נ;u05e0;22;42;378;source_symbols/16_u05e0.png;results/alphabet_profiles/16_u05e0/00_symbol.png;results/alphabet_profiles/16_u05e0/01_profile_x.png;results/alphabet_profiles/16_u05e0/02_profile_y.png
17;ן;u05df;21;56;370;source_symbols/17_u05df.png;results/alphabet_profiles/17_u05df/00_symbol.png;results/alphabet_profiles/17_u05df/01_profile_x.png;results/alphabet_profiles/17_u05df/02_profile_y.png
18;ס;u05e1;42;43;697;source_symbols/18_u05e1.png;results/alphabet_profiles/18_u05e1/00_symbol.png;results/alphabet_profiles/18_u05e1/01_profile_x.png;results/alphabet_profiles/18_u05e1/02_profile_y.png
19;ע;u05e2;38;47;588;source_symbols/19_u05e2.png;results/alphabet_profiles/19_u05e2/00_symbol.png;results/alphabet_profiles/19_u05e2/01_profile_x.png;results/alphabet_profiles/19_u05e2/02_profile_y.png
20;פ;u05e4;38;43;665;source_symbols/20_u05e4.png;results/alphabet_profiles/20_u05e4/00_symbol.png;results/alphabet_profiles/20_u05e4/01_profile_x.png;results/alphabet_profiles/20_u05e4/02_profile_y.png
21;ף;u05e3;37;56;589;source_symbols/21_u05e3.png;results/alphabet_profiles/21_u05e3/00_symbol.png;results/alphabet_profiles/21_u05e3/01_profile_x.png;results/alphabet_profiles/21_u05e3/02_profile_y.png
22;צ;u05e6;36;41;602;source_symbols/22_u05e6.png;results/alphabet_profiles/22_u05e6/00_symbol.png;results/alphabet_profiles/22_u05e6/01_profile_x.png;results/alphabet_profiles/22_u05e6/02_profile_y.png
23;ץ;u05e5;36;55;495;source_symbols/23_u05e5.png;results/alphabet_profiles/23_u05e5/00_symbol.png;results/alphabet_profiles/23_u05e5/01_profile_x.png;results/alphabet_profiles/23_u05e5/02_profile_y.png
24;ק;u05e7;38;55;644;source_symbols/24_u05e7.png;results/alphabet_profiles/24_u05e7/00_symbol.png;results/alphabet_profiles/24_u05e7/01_profile_x.png;results/alphabet_profiles/24_u05e7/02_profile_y.png
25;ר;u05e8;35;42;384;source_symbols/25_u05e8.png;results/alphabet_profiles/25_u05e8/00_symbol.png;results/alphabet_profiles/25_u05e8/01_profile_x.png;results/alphabet_profiles/25_u05e8/02_profile_y.png
26;ש;u05e9;48;42;784;source_symbols/26_u05e9.png;results/alphabet_profiles/26_u05e9/00_symbol.png;results/alphabet_profiles/26_u05e9/01_profile_x.png;results/alphabet_profiles/26_u05e9/02_profile_y.png
27;ת;u05ea;44;43;661;source_symbols/27_u05ea.png;results/alphabet_profiles/27_u05ea/00_symbol.png;results/alphabet_profiles/27_u05ea/01_profile_x.png;results/alphabet_profiles/27_u05ea/02_profile_y.png
