index;expected_symbol_lr;best_symbol;best_similarity;second_symbol;second_similarity;third_symbol;third_similarity
1;ך;ך;0.589136;ן;0.585560;ף;0.514550
2;ת;ם;0.553833;ת;0.545182;מ;0.538813
3;ו;ן;0.702082;ך;0.576089;נ;0.568754
4;א;ם;0.696270;ש;0.673925;מ;0.663676
5;ב;ב;0.637986;ם;0.624777;כ;0.614793
6;ה;ם;0.647178;מ;0.637160;ת;0.633298
7;ו;ן;0.702082;ך;0.576089;נ;0.568754
8;א;ם;0.696270;ש;0.673925;מ;0.663676
9;י;ו;0.842511;י;0.716389;ר;0.707260
10;נ;ן;0.586223;נ;0.580579;כ;0.545088
11;א;ם;0.696270;ש;0.673925;מ;0.663676
